No.,Company Name,Logo/Brand,Sponsor Type,Hall,pavilion no.,Originator Country,Representatives,Basic introduction,News/Recent Outstanding Achievement/Applications and Project References,Type of Industry,Hydrogen-focused business,Website,Form of Contacts,Highlighted Info,Unknown,Source_Sheet,Img_Logo,Img_Rep,Img_NewsProj,Img_Contact,Img_Highlight
47,Hygreen Energy,-,Exhibitors,E,114,China,-,"Hygreen Energy is a world leading electrolyzer manufacturer that offers comprehensive solutions to green hydrogen production. Trusted by customers worldwide, Hygreen Energy electrolyzers are in operation across different applications including industry, power and mobility sectors.

Specializing in both Alkaline and PEM technologies, our stacks and systems are rigorously tested to meet international compliance and certification requirements, and are proven with extensive in-field usage.",-,Electrolyser Manufacturer,Hydrogen Production Equipment Manaufacturers and its apparatus,https://hygreenenergy.com/,Website; https://www.facebook.com/people/SinoHy-Energy/100063944109910/,-,-,H,Hygreen Energy_Logo_Image_636.png,Hygreen Energy_Rep_Image_637.png,Hygreen Energy_NewsProj_Image_638.png,,Hygreen Energy_Highlight_Image_639.png
48,HYPOS – Hydrogen Power Storage & Solutions e.V.,-,Exhibitors,D,100,Germany,-,"HYPOS e.V. is the network for all those interested in the hydrogen economy and, with 160 members, combines the potential of innovative SMEs with the competencies of industry and the expertise of universities and research institutions. Funded by the Ministry of Economy, Tourism, Agriculture and Forestry of Saxony-Anhalt, the H2 Innovation Cluster HYPOS accompanies the market ramp-up of green hydrogen together with its members.",-,Universities and research institutions,Academic or Research Institution,https://www.hypos-germany.de/en/,Website; Tel: +49 341 6001620; E: info@hypos-germany.de; https://twitter.com/HYPOS_GreenH2; ,-,-,H,HYPOS  Hydrogen Power Storage  Solutions eV_Logo_Image_640.png,,HYPOS  Hydrogen Power Storage  Solutions eV_NewsProj_Image_641.png,,HYPOS  Hydrogen Power Storage  Solutions eV_Highlight_Image_642.png
49,Hystar,-,Exhibitors,D,122l,Norway,-,"Hystar is a technology company making game-changing PEM electrolysers for green hydrogen production!. Hystar offers two product lines of PEM electrolyser systems, Vega™ and Mira™",-,"PEM electrolysers, Green Hydrogen",Hydrogen Production Equipment Manaufacturers and its apparatus,https://hystar.com/,Website; https://www.linkedin.com/company/hystar;https://www.facebook.com/HystarH2; ,-,-,H,Hystar_Logo_Image_643.png,,Hystar_NewsProj_Image_644.png,,Hystar_Highlight_Image_645.png
50,Hystream Developments,-,Exhibitors,E,54,Netherlands,-,"Hystream Development was formed in 2020 to deliver Engineering, Procurement and Construction Management services into the nascent green hydrogen market in The Netherlands. and the UK and operating in Belgium and Luxembourg.  Hystream BV has a team of 10 technical staff and associates, which have enabled the delivery of two hydrogen fuelling stations and developed plans for a hydrogen generation unit.",-,"Engineering and Management, Green Hydrogen",EPC and/or Engineering Services and Consulting Firms,https://hystreamdevelopments.com/,Website; Tel: +1 31613838361; E: astrid.ijssennagger@hystream.nl,-,-,H,Hystream Developments_Logo_Image_646.png,Hystream Developments_Rep_Image_647.png,Hystream Developments_NewsProj_Image_648.png,,Hystream Developments_Highlight_Image_649.png
51,hytep,-,Exhibitors,D,100,Czech Republic,-,"The Platform formation was initiated in the year 2006 by the Ministry of Industry and Trade of the Czech Republic. Their intention was to create a tool to support mutual awareness of bodies active in the area of hydrogen technologies and to coordinate activities related to the development of these applications. Currently, the Platform is open to new members according to the rules arising from the Platform Statutes.  The Platform mission is to support the development of hydrogen technologies and implement hydrogen economy in the Czech Republic.
The Platform contributes to the coordination of mutual activities run by bodies developing hydrogen technologies and hydrogen economy, following both domestic and foreign programs and financial resources.
The Platform defines, represents, supports, defends and enforces duly justified common interests of its members with the goal to create a suitable environment for the development of hydrogen economy.",-,"Technology Development, Hydrogen",Academic or Research Institution,https://www.hytep.cz/en/,Website; E: info@hytep.cz,-,-,H,hytep_Logo_Image_650.png,,hytep_NewsProj_Image_651.png,,hytep_Highlight_Image_652.png
52,HYVIA,-,Bronze Sponsors,B,24,France,-,"HYVIA is the first company to offer turnkey solutions for hydrogen mobility. Born of the union of automotive leader Renault Group and hydrogen leader Plug Power ⚡, HYVIA combines their expertise to forge the new path to decarbonated hydrogen mobility.",-,Hydrogen Vehicles and Hydrogen Refilling Station,Offtaker or Terminal Ports or Maritime Logistic  or Refuelling Station,https://www.hyvia.eu/en/,Website; https://www.facebook.com/HYVIA.Official/,-,-,H,HYVIA_Logo_Image_653.png,HYVIA_Rep_Image_654.png,HYVIA_NewsProj_Image_655.png,,HYVIA_Highlight_Image_656.png
1,Iberdrola,-,Silver Sponsors,D,112,Spain,-,"The Iberdrola Group is today a world leader in renewable energy sources, with 42,387 MW of operational renewables by the end of the first quarter of 2024, focused on offshore wind in the United States, the United Kingdom, France and German; on onshore wind and solar.",-, Renewable Energy and Green Hydrogen,Renewable Energy Companies,https://www.iberdrola.com/home,Website; https://twitter.com/iberdrola;https://www.facebook.com/Iberdrola/; https://www.youtube.com/iberdrola; https://www.linkedin.com/company/iberdrola-renewables/,-,-,I,Iberdrola_Logo_Image_657.png,,Iberdrola_NewsProj_Image_658.png,,Iberdrola_Highlight_Image_659.png
2,Imodco / SBM Offshore,-,Exhibitors,C,18,Switzerland,-,"Imodco is the leading supplier of CALM buoys, with over 450 systems designed and installed worldwide since 1958. We are a dedicated CALM Engineering, Procurement, Construction and Installation contractor.

We provide reliable and safe systems to the highest HSSE and quality standards while also ensuring aftersales support during the asset’s lifetime.",-,The Catenary Anchor Leg Mooring Supply and Service.,EPC and/or Engineering Services and Consulting Firms,https://imodco.com/,Website; Tel: +377 9205 1500; E: contact@imodco.com,-,-,I,Imodco  SBM Offshore_Logo_Image_660.png,Imodco  SBM Offshore_Rep_Image_661.png,Imodco  SBM Offshore_NewsProj_Image_662.png,,Imodco  SBM Offshore_Highlight_Image_663.png
3,India Pavilion,-,Exhibitors,E,59,India,-,"India Pavilion, we are more than just a platform; we are architects of change, propelling the Indian Electric Vehicle (EV) industry onto the global stage.",-,"Exhibitor, EV",Conference Organizer/ Event Advertiser/Journalism/,https://indiapavilion.org/,Website; Tel: +91 80889 98516; E: upport@indiapavilion.org,-,-,I,India Pavilion_Logo_Image_664.png,India Pavilion_Rep_Image_665.png,India Pavilion_NewsProj_Image_666.png,,India Pavilion_Highlight_Image_667.png
4,Innovation Norway,-,Exhibitors,D,122,Norway,-,Innovation Norway is a state-owned company and a national development bank. The company's programs and services are intended to stimulate entrepreneurship in Norway.,-,Finance,Energy Trading Organization and/or Finance Institution,https://www.innovasjonnorge.no/,Website; https://www.facebook.com/innovasjonnorgehttps://twitter.com/innovasjonnorge; https://th.linkedin.com/company/innovasjonnorge,-,-,I,Innovation Norway_Logo_Image_668.png,Innovation Norway_Rep_Image_669.png,Innovation Norway_NewsProj_Image_670.png,,Innovation Norway_Highlight_Image_671.png
5,INRAG AG Switzerland,-,Exhibitors,E,78,Switzerland,-,"NRAG AG – the H2 System Integrator for all components of your hydrogen plant and take into account the important points such as ""Total Cost of Ownership"". We are also your partner for asset lifecycle management and accompany your H2 plant with our service. This enables INRAG to maximise your availability and thus your ""return on investment"".Our partner McPhy is one of the leading suppliers for electrolysers with its plants up to 100 MW. For the H2 filling stations we also rely on the wide product range of McPhy and can therefore provide you with delivery quantities from 20 kg up to several tons of hydrogen per day. And the revolutionary measurement technology of the Purity Analyser from our partner I-GRAPHX guarantees the delivery of 99.999 % (5.0) pure H2 to your end customers. INRAG delivers a complete package up to online billing systems.",-,"EPC, Hydrogen Integrator",EPC and/or Engineering Services and Consulting Firms,https://www.inrag.ch/en_company.html,Website; Tel: +41 (0) 61 378 96 00; E: uinrag@inrag.ch; https://www.linkedin.com/company/inrag-ag,-,-,I,INRAG AG Switzerland_Logo_Image_672.png,INRAG AG Switzerland_Rep_Image_673.png,INRAG AG Switzerland_NewsProj_Image_674.png,,INRAG AG Switzerland_Highlight_Image_675.png
6,Inside Sustainability,-,Exhibitors,D,100,United Kingdom,-,"Our vital global presence has been gained through a digital magazine readership, a faithful social media following and our informative website, plus a presence at international exhibitions.

From the energy transition and biodegradable packaging to responsible construction procedures and waste-reduction programmes, Inside Sustainability delivers in-depth company profiles. Supported by the latest news, including efficient operations, innovative technologies and inspirational product launches, we give companies the information they need to operate sustainably",-,Magazine,Conference Organizer/ Event Advertiser/Journalism/,https://inside-sustainability.com/,Website; Tel: +44 (0) 1493 445121; E: sales@insidepublication.com,-,-,I,Inside Sustainability_Logo_Image_676.png,,Inside Sustainability_NewsProj_Image_677.png,,Inside Sustainability_Highlight_Image_678.png
7,Integrative Nanotech,-,Exhibitors,E,02Y,Canada,-,"High performance, cost-effective hydrogen sensors · The next generation of nanomaterial enabled sensing · Transportation · Fuel Cells and Electrolysers .",-,"Detection Sensors, Hydrogen",Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.integrativenanotech.com/,"Website; Tel: 04.283.1040; E:
info@canadaH2.ca",-,-,I,Integrative Nanotech_Logo_Image_679.png,,Integrative Nanotech_NewsProj_Image_680.png,,Integrative Nanotech_Highlight_Image_681.png
8,INTER,-,Exhibitors,D,120,Netherlands,-,"INTER has grown from an AV distributor to an established system integrator and IT/process consultant. Our solutions ensure that users in critical and complex environments are able to make better decisions every day by presenting the right information. With our passion for technology, we develop innovative solutions together with our clients that contribute to process optimization for our customers.",-,"IT, AV system Intergrator",Green Field of Energy/ Start-up/Innovative Technology/AI Technology ,https://inter-nl.translate.goog/?_x_tr_sl=nl&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,Website; Tel: +31 26 319 69 69; E: contact@inter.nl; https://www-youtube-com.translate.goog/channel/UCa_M-uVgtI9tg8I4rmqgQ5g?_x_tr_sl=nl&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc; https://www-linkedin-com.translate.goog/company/inter-integrationspecialist/?viewAsMember=true&_x_tr_sl=nl&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,-,-,I,INTER_Logo_Image_682.png,INTER_Rep_Image_683.png,INTER_NewsProj_Image_684.png,,INTER_Highlight_Image_685.png
9,InterDam,-,Exhibitors,A,42,Netherlands,-,"InterDam’s wide range of blast doors and fire doors provides heavy-duty, weathertight and airtight solutions designed for a lifetime of over 20 years. They have been extensively tested to meet international standards – including the IMO FTP code and Norsok C-002 – and have received onshore and offshore installation fire approval from DNV-GL, Lloyd’s Register, ABS, USCG and GOST. The doors cover fire ratings from A0 up to H120 (including jet fire requirements) and our blast tests demonstrate resistance to blast overpressure up to 2.5 bar.",-,"Safety, Fire and Blast Protection",Hydrogen Production Equipment Manaufacturers and its apparatus,https://interdam.com/,Website; Tel: +31 180 473 557; E: irma.godie@interdam.com; https://www.linkedin.com/company/interdam-bv; https://www.facebook.com/InterDamYourShieldInTheField/; https://www.youtube.com/user/InterDam,-,-,I,InterDam_Logo_Image_686.png,InterDam_Rep_Image_687.png,InterDam_NewsProj_Image_688.png,,InterDam_Highlight_Image_689.png
10,International Business Times,-,Exhibitors,D,100,United States,-,"International Business Times is a modern digital business publication, with its main edition in the United States, as well as 4 other local editions published independently in 4 countries.
IBT's mission is to seek out the truth and to promote freedom. Its editorial coverage focuses on the drivers behind the transformation of the global economy.",-,"News, Business Economy",Conference Organizer/ Event Advertiser/Journalism/,https://www.ibtimes.com/,Website; https://www.facebook.com/IBTimes; https://twitter.com/ibtimes; https://www.linkedin.com/company/ibt-media  ,-,-,I,International Business Times_Logo_Image_690.png,,International Business Times_NewsProj_Image_691.png,,International Business Times_Highlight_Image_692.png
11,Intertek,-,Exhibitors with Physical & Virtual Stands,E,116,United Kingdom,-,"Welcome to Intertek. We offer innovative solutions that encompass every aspect of life; through Assurance, Testing, Inspection and Certification (ATIC) services to our customers around the world. Intertek can provide customers with access to our unmatched expertise, pioneering energy innovations and global end-to-end risk-based quality, safety, and sustainability solutions that helps them advance the hydrogen sector, successfully develop and execute hydrogen-based projects and create viable ecosystems all while overcoming safety challenges and increasingly complex regulatory requirements throughout the entire hydrogen value chain.",-,"Safety, Quality Assurance",Renewable Energy Companies,https://www.intertek.com/,Website; Tel: +1 604 374 4525; E: sunny.minhas@intertek.com; https://www.linkedin.com/company/intertek; https://twitter.com/intertek; https://www.youtube.com/intertekgroup,-,-,I,Intertek_Logo_Image_693.png,Intertek_Rep_Image_694.png,Intertek_NewsProj_Image_695.png,,Intertek_Highlight_Image_696.png
12,Investe Piaui,-,Exhibitors with Physical & Virtual Stands,D,108,Brazil,-,"Piauí is growing and stands out on the national scene as one of the largest producers of clean and sustainable energy. Faced with international crises and the urgency to accelerate the planet's decarbonization process, new technologies and business opportunities in the energy sector are gaining relevance, mainly in the green hydrogen production chain. Strategic Investment Attraction Agency",-,"Business, Invesment",H2 Business developer &  Investor,https://investepiaui-com.translate.goog/hub-hidrogenio-verde/?_x_tr_sl=pt&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=sc,Website; https://twitter.com/InvestePiaui,-,-,I,Investe Piaui_Logo_Image_697.png,Investe Piaui_Rep_Image_698.png,Investe Piaui_NewsProj_Image_699.png,,Investe Piaui_Highlight_Image_700.png
13,IPHE,-,Exhibitors,D,100,United States,-,"The International Partnership for Hydrogen and Fuel Cells in the Economy (IPHE), established in 2003, is an international inter-governmental partnership whose objective is to facilitate and accelerate the transition to clean and efficient energy and mobility systems using fuel cells and hydrogen (FCH) technologies. Each of the following IPHE partner countries has committed to accelerate the development of FCH technologies to enhance the security and efficiency of their energy systems, to help address environmental objectives, and to grow the economy. We organize our work around these three areas: share information, inform future government RD&D and  foster collaboration",-,"Research and development, International Partnership for Hydrogen and Fuel Cells",Academic or Research Institution,https://www.iphe.net/,Website;,-,-,I,IPHE_Logo_Image_701.png,,IPHE_NewsProj_Image_702.png,,IPHE_Highlight_Image_703.png
14,ITM Power PLC,-,Exhibitors,A,100,United Kingdom,-,"ITM has been designing and manufacturing electrolyser systems that generate green hydrogen based on proton exchange membrane (PEM) technology. Our electrolysers require just renewable energy and water, with oxygen as the only by-product. As the first hydrogen related company to be LISTED ON THE LONDON STOCK EXCHANGE, it’s no exaggeration to say that we’re globally recognised experts in our field. ",-,"Green Hydrogen, PEM Electrolysers",Hydrogen Production Equipment Manaufacturers and its apparatus,https://itm-power.com/,Website; Tel: +44 7999 031880; E: spoulter@itm-power.com,-,-,I,ITM Power PLC_Logo_Image_704.png,ITM Power PLC_Rep_Image_705.png,ITM Power PLC_NewsProj_Image_706.png,,ITM Power PLC_Highlight_Image_707.png
15,Iv,-,Exhibitors,C,88,Netherlands,-,"We are Iv. We are Engineers. Engineers with an unrivalled commitment to solving the most complex issues. The greatest challenges of our time. Our specialists devise solutions for the energy transition, the effects of climate change and to ensure a safe and resilient society. We design offshore wind platforms, submarines, and the world's largest lock complexes. Essentially, we design anything that requires a high level of technical expertise and multidisciplinary knowledge. The diversity of our work is unmatched by any other engineering company, and we deliver results that genuinely benefit society. This is what we call: Engineering that excites.",-,Engineering,EPC and/or Engineering Services and Consulting Firms,https://www.iv.nl/en/,Website; Tel: +31 88 943 2157; E: info@iv.nl,-,-,I,Iv_Logo_Image_708.png,Iv_Rep_Image_709.png,Iv_NewsProj_Image_710.png,,Iv_Highlight_Image_711.png
16,Ivys Adsorption,-,Exhibitors,E,02Q,Canada,-,"Ivys offers both high-performance and innovative technological solutions for the purification of renewable gas and a wide range of equipment for the conditioning, compression and filtration of air and gas. By providing best-in-class products to facilitate the transition to a cleaner future, Ivys is part of the movement aiming to decarbonize the planet with a sustainable development model that integrates economic growth through social and environmental responsibilities.",-,"Green Hydrogen, Biogas",Hydrogen Production Equipment Manaufacturers and its apparatus,https://ivysads.com/,Website; Tel: 1 450 979-8700; https://ivysads.com/contact/,-,-,I,Ivys Adsorption_Logo_Image_712.png,,Ivys Adsorption_NewsProj_Image_713.png,,Ivys Adsorption_Highlight_Image_714.png
1,J De Jonge,-,Exhibitors,A,66,Netherlands,-,"J. de Jonge is a leading mechanical engineering contractor that started as a piping and construction company in 1954. It now provides a wide range of products and services to clients in the petrochemical and energy transition industries. The company is known for its expertise in designing, building, and maintaining valuable connections in oil and gas transportation systems​ 
","1.4 of the 8 tank pits and the utility pipes were delivered to Standic in Antwerp.
2.J. de Jonge Mechanical is the leading contractor for the revamp of a pump pit for Evos Amsterdam. Our team of skilled personnel, including prefab specialists will ensure that the project is completed at the end of the year.",Mechanical engineering and construction,EPC and/or Engineering Services and Consulting Firms,https://jdejonge.com/,"J. de Jonge Group
Kon. Wilhelminahaven Z.Z. 18
3134 KG Vlaardingen
+31 (0)10-248 58 00","J. de Jonge plays a crucial role in the energy transition market, including hydrogen projects. They offer engineering solutions that support the development and maintenance of hydrogen infrastructure, aligning with their mission to drive innovation and sustainability in the energy sector​",-,J,J De Jonge_Logo_Image_715.png,J De Jonge_Rep_Image_716.png,,,
2,Japan Pavilion,-,Exhibitors,D,94,Japan,-,"The Japan Pavilion is an exhibition space designed to showcase Japan's cultural, technological, and industrial achievements. It is a recurring feature at international expositions, including the upcoming Expo 2025 in Osaka, Kansai, Japan. The pavilion serves as a cultural ambassador and aims to create connections between Japan and the world through innovative designs and interactive exhibits.","The Japan Pavilion frequently highlights sustainable energy solutions, including hydrogen technology. At Expo 2020 in Dubai, for instance, the pavilion featured themes around future energy and sustainable practices, reflecting Japan's advancements in hydrogen technology and renewable energy​",showcases innovations in these fields through various exhibits and interactive displays.,Hydrogen Project Owners/Showcase/Reference/Business Portfolio,https://2025-japan-pavilion.go.jp/en/overview/,"Email
jppavilion_press@expo2025.or.jp ","The pavilion often includes exhibits on Japan's cutting-edge technologies, including hydrogen energy solutions. This aligns with Japan's national strategy to promote hydrogen as a clean energy source and its efforts to achieve the Sustainable Development Goals (SDGs)",-,J,Japan Pavilion_Logo_Image_717.png,Japan Pavilion_Rep_Image_718.png,,,
3,"Jeaeng Co., Ltd.",-,Exhibitors,E,3,South Korea,-,"Jeaeng Co., Ltd. is a South Korea-based company specializing in hydrogen technology. They are known for their contributions to the development of hydrogen refueling stations and hydrogen-powered fuel cell drones. The company plays a significant role in promoting green energy solutions and sustainability through their advanced technological offerings.","Jeaeng Co., Ltd. is part of a consortium that includes Doosan Mobility Innovation Co., Ltd. and BTE Co., Ltd., focusing on the development and promotion of Mobile Hydrogen Refueling Stations (MHRS). They have been actively involved in various hydrogen-related projects, including supplying hydrogen-powered fuel cell drones for research and development in Malaysia","Hydrogen technology and green energy solutions.

",Hydrogen Project Owners/Showcase/Reference/Business Portfolio,http://en.jeaeng.co.kr/,TEL : 031-8050-1051 FAX : 031-8050-1053 Email : jea2700@hanmail.net,"Jeaeng Co., Ltd. focuses on hydrogen-powered technologies, including mobile hydrogen refueling stations and hydrogen fuel cell drones. Their work aims to support the transition to a low-carbon future by providing sustainable and innovative energy solutions​ ",-,J,Jeaeng Co Ltd_Logo_Image_719.png,Jeaeng Co Ltd_Rep_Image_720.png,,,
4,Jenbacher,-,Exhibitors,B,82,Austria,-,"Jenbacher, part of the INNIO Group, specializes in providing innovative energy solutions driven by sustainability, decentralization, and digitalization. The company is a leading provider of renewable gas, natural gas, and hydrogen-rich solutions. Jenbacher engines are used in power generation, cogeneration (CHP), and trigeneration units, operating on a wide range of energy sources, including pipeline gas and hydrogen​ ","INNIO Jenbacher has been involved in significant hydrogen projects. For example, they are delivering hydrogen technology to power RAG Austria AG's hydrogen cogeneration plant and have received 'H2-Readiness' certification from TÜV SÜD for their engine power plant concept​ 

https://www.jenbacher.com/en/case-studies/agrotor-hnd","provider of renewable gas, natural gas, and hydrogen-rich solutions",Hydrogen Project Owners/Showcase/Reference/Business Portfolio,https://www.jenbacher.com/en,contact.en@innio.com,"Jenbacher engines are capable of running on hydrogen and other gases, making them suitable for a variety of applications where clean energy and sustainability are priorities. Their latest projects include implementing hydrogen-ready microgrid solutions and hydrogen cogeneration plants​",-,J,Jenbacher_Logo_Image_721.png,Jenbacher_Rep_Image_722.png,,,
5,"Jiangsu Skyblue Smart Equipment Co.,Ltd",-,Exhibitors,C,148,China,-,"Jiangsu Skyblue Smart Equipment Co., Ltd., founded in 2020, is a professional manufacturer of hydrogen production equipment. The company specializes in the development and production of electrolyzers, hydrogen production systems, and hydrogen storage cylinders. It is a subsidiary of Jiangsu Lopal Technology Co., Ltd., a company established in Nanjing, Jiangsu Province​ ","Skyblue Smart Equipment has developed the Tlec No. 1, a 1,000 Nm³/h alkaline electrolyzer, which has passed Bureau Veritas' HAZOP analysis and obtained SIL assessment and explosion-proof certification according to the ATEX Directive. This highlights their significant contribution to hydrogen production technology​",Hydrogen production and energy solutions.,Hydrogen Project Owners/Showcase/Reference/Business Portfolio,https://jsskyblue.en.alibaba.com/,"+86 138 1382 3902
+86 138 1382 3902

Email
cxx@lopal.cn","The company is known for its TLEC series electrolyzers, which are used for hydrogen production. Their products are designed to support industries like fertilizer production, green steel, and cement manufacturing by providing efficient hydrogen solutions",-,J,Jiangsu Skyblue Smart Equipment CoLtd_Logo_Image_723.png,Jiangsu Skyblue Smart Equipment CoLtd_Rep_Image_724.png,,,
6,"Jiangsu Yuanzhuo Equipment Manufacturing Co.,Ltd",-,Exhibitors,E,17,China,-,"Jiangsu Yuanzhuo Equipment Manufacturing Co., Ltd., commonly known as YOJO, was established in 2013 in Jiangyin City, Jiangsu Province, China. The company specializes in the research, design, and production of plate heat exchangers. They have a professional team with extensive experience in the heat transfer sector and hold advanced technology for developing heat exchangers.","While the primary focus of Jiangsu Yuanzhuo Equipment Manufacturing is on heat exchangers, their technology and products can be utilized in various applications, including those related to hydrogen production and energy systems.",Heat exchanger Equipment Manufacturing,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.yojointernational.com/,"Tel：0086-510-86165907

 Email：zy@jsyuanzhuo.com

 Phone：0086-15962426007","The company’s plate heat exchangers can be used in different industrial applications, including energy systems that may involve hydrogen production and utilization. Their products are designed for high efficiency and durability.",-,J,Jiangsu Yuanzhuo Equipment Manufacturing CoLtd_Logo_Image_725.png,Jiangsu Yuanzhuo Equipment Manufacturing CoLtd_Rep_Image_726.png,,,
7,John Cockerill,-,Exhibitors,D,50,France,-,"John Cockerill designs, integrates, modernizes and maintains equipment in the domains of energy, defence, steelmaking, the environment and industry in general.
John Cockerill assists its clients throughout the whole of the lifecycle of their equipment, to improve its economic, technical and environmental performance.","John Cockerill is actively involved in hydrogen technology, producing 33% of the world's high-pressure electrolysis units in 2021. They are working on various hydrogen projects, including the development of the world's largest alkaline electrolyzer plant in China and the deployment of hydrogen solutions for sustainable energy transitions.","Industrial Goods and Machinery, specifically focusing on technological solutions for energy, defense, industry, environment, transport, and infrastructures.",Hydrogen Production Equipment Manaufacturers and its apparatus,http://www.johncockerill.com,"info@agueris.com
+33 1 84 19 56 00
http://www.agueris.com ","John Cockerill is a major player in the hydrogen sector, focusing on developing green hydrogen production technologies and solutions. Their innovations in electrolyzers and hydrogen infrastructure support the global transition to sustainable energy sources.

",-,J,John Cockerill_Logo_Image_727.png,John Cockerill_Rep_Image_728.png,,,
8,John Crane,-,Exhibitors,D,14,United Kingdom,-,"John Crane, a subsidiary of Smiths Group, is a global leader in providing engineered products and services, including mechanical seals, power transmission couplings, seal support systems, filtration systems, and digital diagnostics technologies. The company serves a variety of industries, such as oil and gas, power generation, chemical, pharmaceutical, mining, and wastewater","John Crane is involved in scalable clean hydrogen technologies, carbon capture, utilization and storage (CCUS), and greenhouse gas emission reduction technologies, contributing to sustainability efforts and the hydrogen economy

https://resources.johncrane.com/l/case-studies?overlay_url=https%3A%2F%2Fresources.johncrane.com%2Fcase-studies%2Fcs-co2_russia_chemic%3Flx%3Dw--jPB",Industrial Machinery Manufacturing,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.johncrane.com/en,"
Um Tower Floor 31, No 9/311, 9/317, Ramkhamhaeng Road, Suanluang, Bangkok, 10250, Thailand
Phone
+66 2-7174507
Email
Thailandsales@johncrane.com","John Crane provides innovative solutions that support the hydrogen economy, including technologies for clean hydrogen production and emissions reduction​

",-,J,John Crane_Logo_Image_729.png,John Crane_Rep_Image_730.png,,,
9,Junta de Andalucia,-,Exhibitors,E,22,Spain,-,"The Junta de Andalucía is the government of the Autonomous Community of Andalusia, Spain. It is responsible for the administration and governance of the region, covering areas such as education, health, employment, social services, culture, and environmental protection.","The Junta de Andalucía supports various sustainable and green energy projects, including initiatives related to hydrogen and renewable energy sources, contributing to the region's environmental goals.","Government administration and public services.

",Government Agency/Representative/Policy Maker,https://www.juntadeandalucia.es/,https://www.juntadeandalucia.es/haciendayadministracionpublica/ceisgformweb/formulario012.faces,"The Junta de Andalucía actively promotes green energy projects, including hydrogen production and utilization, to enhance sustainability and reduce carbon emissions in the region.",-,J,Junta de Andalucia_Logo_Image_731.png,Junta de Andalucia_Rep_Image_732.png,,,
1,Kallanish,-,Exhibitors,D,100,United Kingdom,-,"Kallanish Commodities is a business media company specializing in publishing news, data, and market intelligence for the global steel and power materials sectors. The company provides comprehensive coverage of these markets through various reports, newsletters, and events.","Kallanish covers a wide range of topics including hydrogen. Their ""Kallanish Power Materials Weekly"" report frequently includes updates and developments related to hydrogen and other renewable energy sources.

https://www.kallanish.com/en/news/power-materials/market-reports/hydrogen/",Business media,Conference Organizer/ Event Advertiser/Journalism/,https://www.kallanish.com/en/,"Britannia House
11 Glenthorne Rd
Hammersmith, UK, W6 0LH
t: +44 20 3885 7100

 info@kallanish.com",-,-,K,Kallanish_Logo_Image_733.png,,,,Kallanish_Highlight_Image_734.png
2,Kapp Nederland B.V.,-,Exhibitors,A,92,Netherlands,-,"Kapp Nederland B.V. is a leading company specializing in heat transfer engineering. They offer comprehensive expertise in the design, production, and maintenance of heat exchangers across various industries, including process industries, hydrogen, and energy sectors. The company focuses on creating efficient, compact, and safe heat transfer solutions that meet stringent industry standards.","Hydrogen and heat transfer, an inseparable combination
We assume that you share our conviction that green hydrogen will play a significant role in the energy transition. Developments in the field of hydrogen are rapid, with the number of installations and electrolysers increasing rapidly worldwide. But the processes are not yet fully defined. Understandably so! People all over the world are looking for the optimum configuration to produce hydrogen as sustainably and efficiently as possible.",Heat transfer engineering and manufacturing.,Hydrogen Production Equipment Manaufacturers and its apparatus,https://www.kapp.nl/en/,"Kapp Nederland B.V.
Veerplaat 102
3313 LJ Dordrecht
+31(0)78 611 73 50
sales@kapp.nl",Kapp Nederland B.V. is dedicated to advancing the hydrogen industry by offering innovative heat exchanger solutions that are integral to hydrogen production and processing systems. Their technology ensures efficient and reliable operation in various hydrogen applications.,-,K,Kapp Nederland BV_Logo_Image_735.png,Kapp Nederland BV_Rep_Image_736.png,,,
3,Kawasaki Heavy Industries,-,Exhibitors,D,54,Japan,-,"Kawasaki Heavy Industries, Ltd. (KHI) is a Japanese multinational corporation that manufactures a wide range of products across various industries, including transportation, aerospace, energy, and industrial equipment. Founded in 1896, the company has a rich history of innovation and technological advancements. KHI is known for its high-quality motorcycles, aircraft, ships, industrial robots, and environmental and recycling plants.","Kawasaki Heavy Industries is actively involved in the development of hydrogen technology. They have created the ""Hydrogen Road"" initiative, focusing on the production, storage, and transportation of hydrogen. The company has also developed the world's first liquefied hydrogen carrier, Suiso Frontier, to support the global hydrogen supply chain.

",Industrial Machinery Manufacturing,Hydrogen Production Equipment Manaufacturers and its apparatus,https://global.kawasaki.com,"1-14-5, Kaigan, Minato-ku, Tokyo 105-8315, Japan
Tel: +81-3-3435-2111 / Fax: +81-3-3436-3037",-,-,K,Kawasaki Heavy Industries_Logo_Image_737.png,Kawasaki Heavy Industries_Rep_Image_738.png,,,Kawasaki Heavy Industries_Highlight_Image_739.png
